epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1393.42,1.5162,0.69255,0.00104,0.9053,0.63886,0.79237,0.33395,2.0924,0.94356,0.00203,0.0003665,0.0003665,0.0003665
68,1419.59,1.68943,0.82235,0.00104,0.89169,0.66667,0.79547,0.30925,2.12449,0.92645,0.00205,0.00034175,0.00034175,0.00034175
69,1443.95,1.48344,0.74487,0.00089,1,0.64602,0.808,0.30473,2.16915,0.90869,0.00209,0.000317,0.000317,0.000317
70,1466.99,1.51531,0.67138,0.00096,0.74709,0.78835,0.79185,0.30384,2.1824,0.8899,0.00211,0.00029225,0.00029225,0.00029225
71,1493.21,1.75027,0.85885,0.00114,1,0.59824,0.78226,0.31701,2.1581,0.94495,0.00209,0.0002675,0.0002675,0.0002675
72,1517.17,1.63801,0.65579,0.00117,1,0.59634,0.7697,0.32207,2.15569,1.0403,0.00209,0.00024275,0.00024275,0.00024275
73,1539.76,1.59063,0.62513,0.00112,1,0.59686,0.7697,0.334,2.15275,1.095,0.00208,0.000218,0.000218,0.000218
74,1564.04,1.56132,0.85103,0.00105,1,0.59546,0.76514,0.31276,2.15694,1.16066,0.00206,0.00019325,0.00019325,0.00019325
75,1586.01,1.58741,0.65526,0.00104,1,0.5967,0.76711,0.30001,2.20255,1.1274,0.00211,0.0001685,0.0001685,0.0001685
76,1608.38,1.53126,0.65456,0.00104,1,0.59616,0.76847,0.29981,2.21363,1.1025,0.00212,0.00014375,0.00014375,0.00014375
77,1629.44,1.59023,0.62261,0.00106,1,0.5981,0.77428,0.29083,2.22142,1.08106,0.00213,0.000119,0.000119,0.000119
78,1647.18,1.53692,0.66419,0.00103,0.99892,0.6,0.78319,0.29597,2.20934,1.07171,0.00212,9.425e-05,9.425e-05,9.425e-05
79,1663.61,1.54314,0.6218,0.00105,0.99969,0.6,0.78667,0.30128,2.19628,1.07368,0.0021,6.95e-05,6.95e-05,6.95e-05
80,1680.05,1.498,0.58844,0.00097,1,0.59967,0.78864,0.30271,2.181,1.06201,0.00208,4.475e-05,4.475e-05,4.475e-05
