epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,6824.48,0.73014,0.39514,0.00287,0.96301,0.92453,0.948,0.76106,0.86638,0.5752,0.00356,0.00029225,0.00029225,0.00029225
71,6908.81,0.68937,0.33925,0.00283,0.95753,0.91824,0.94789,0.75847,0.86748,0.59127,0.00366,0.0002675,0.0002675,0.0002675
72,6987.61,0.68948,0.35177,0.00291,0.96069,0.92225,0.94359,0.76039,0.86213,0.6315,0.00367,0.00024275,0.00024275,0.00024275
73,7066.55,0.6635,0.31144,0.00283,0.96457,0.91195,0.94672,0.75991,0.86579,0.60838,0.00348,0.000218,0.000218,0.000218
74,7145.44,0.66028,0.29818,0.00271,0.95366,0.9061,0.9473,0.77081,0.85124,0.58308,0.00347,0.00019325,0.00019325,0.00019325
75,7224.2,0.64592,0.31289,0.00265,0.95994,0.90418,0.94993,0.76026,0.86254,0.59702,0.00354,0.0001685,0.0001685,0.0001685
76,7302.99,0.63879,0.30866,0.00259,0.9606,0.92015,0.95115,0.77322,0.85965,0.59002,0.00355,0.00014375,0.00014375,0.00014375
77,7381.96,0.64156,0.3126,0.00264,0.95399,0.9128,0.94695,0.7693,0.85181,0.60931,0.00354,0.000119,0.000119,0.000119
78,7460.84,0.62443,0.2846,0.00254,0.94183,0.91654,0.94573,0.77039,0.84729,0.61778,0.00342,9.425e-05,9.425e-05,9.425e-05
79,7539.75,0.62077,0.28917,0.00251,0.94754,0.91195,0.94635,0.77392,0.8453,0.60857,0.00342,6.95e-05,6.95e-05,6.95e-05
80,7618.62,0.61906,0.29012,0.00251,0.93593,0.91878,0.94678,0.77228,0.84303,0.60194,0.00342,4.475e-05,4.475e-05,4.475e-05
